Iteração,Gbest_Erro, Kp_best, Ki_best, Kd_best
41,8090.59,5.79,0.28,2.59
42,8090.59,5.79,0.28,2.59
42,8090.59,5.79,0.28,2.59
42,7909.02,5.39,0.30,2.65
42,7909.02,5.39,0.30,2.65
43,7909.02,5.39,0.30,2.65
43,7909.02,5.39,0.30,2.65
43,7909.02,5.39,0.30,2.65
43,7909.02,5.39,0.30,2.65
44,7909.02,5.39,0.30,2.65
44,7909.02,5.39,0.30,2.65
44,7909.02,5.39,0.30,2.65
44,7909.02,5.39,0.30,2.65
45,7909.02,5.39,0.30,2.65
45,7909.02,5.39,0.30,2.65
45,7909.02,5.39,0.30,2.65
45,7909.02,5.39,0.30,2.65
46,7909.02,5.39,0.30,2.65
46,7909.02,5.39,0.30,2.65
46,7909.02,5.39,0.30,2.65
46,7909.02,5.39,0.30,2.65
47,7909.02,5.39,0.30,2.65
47,7909.02,5.39,0.30,2.65
47,7909.02,5.39,0.30,2.65
47,7327.41,5.37,0.30,2.47
48,7327.41,5.37,0.30,2.47
48,7327.41,5.37,0.30,2.47
48,7327.41,5.37,0.30,2.47
48,7327.41,5.37,0.30,2.47
49,7327.41,5.37,0.30,2.47
49,7327.41,5.37,0.30,2.47
49,7327.41,5.37,0.30,2.47
49,7327.41,5.37,0.30,2.47
