Iteracao,Gbest_Erro,Kp,Ki,Kd
38.0,8254.55,5.47,0.23,2.31
38.0,8254.55,5.47,0.23,2.31
38.0,8254.55,5.47,0.23,2.31
38.0,8254.55,5.47,0.23,2.31
39.0,8254.55,5.47,0.23,2.31
39.0,8254.55,5.47,0.23,2.31
39.0,8254.55,5.47,0.23,2.31
39.0,8254.55,5.47,0.23,2.31
40.0,8254.55,5.47,0.23,2.31
40.0,8254.55,5.47,0.23,2.31
40.0,8254.55,5.47,0.23,2.31
40.0,8254.55,5.47,0.23,2.31
41.0,8254.55,5.47,0.23,2.31
41.0,8254.55,5.47,0.23,2.31
41.0,8090.59,5.79,0.28,2.59
41.0,8090.59,5.79,0.28,2.59
42.0,8090.59,5.79,0.28,2.59
42.0,8090.59,5.79,0.28,2.59
42.0,7909.02,5.39,0.3,2.65
42.0,7909.02,5.39,0.3,2.65
43.0,7909.02,5.39,0.3,2.65
43.0,7909.02,5.39,0.3,2.65
43.0,7909.02,5.39,0.3,2.65
43.0,7909.02,5.39,0.3,2.65
44.0,7909.02,5.39,0.3,2.65
44.0,7909.02,5.39,0.3,2.65
44.0,7909.02,5.39,0.3,2.65
44.0,7909.02,5.39,0.3,2.65
45.0,7909.02,5.39,0.3,2.65
45.0,7909.02,5.39,0.3,2.65
45.0,7909.02,5.39,0.3,2.65
45.0,7909.02,5.39,0.3,2.65
46.0,7909.02,5.39,0.3,2.65
46.0,7909.02,5.39,0.3,2.65
46.0,7909.02,5.39,0.3,2.65
46.0,7909.02,5.39,0.3,2.65
47.0,7909.02,5.39,0.3,2.65
47.0,7909.02,5.39,0.3,2.65
47.0,7909.02,5.39,0.3,2.65
47.0,7327.41,5.37,0.3,2.47
48.0,7327.41,5.37,0.3,2.47
48.0,7327.41,5.37,0.3,2.47
48.0,7327.41,5.37,0.3,2.47
48.0,7327.41,5.37,0.3,2.47
49.0,7327.41,5.37,0.3,2.47
49.0,7327.41,5.37,0.3,2.47
49.0,7327.41,5.37,0.3,2.47
49.0,7327.41,5.37,0.3,2.47
