Geracao,Gbest_Erro,Kp,Ki,Kd
42,10855.48,4.91,1.84,0.61
42,10855.48,4.91,1.84,0.61
42,10855.48,4.91,1.84,0.61
42,10855.48,4.91,1.84,0.61
43,10855.48,4.91,1.84,0.61
43,10855.48,4.91,1.84,0.61
43,10855.48,4.91,1.84,0.61
43,10855.48,4.91,1.84,0.61
44,10855.48,4.91,1.84,0.61
44,10855.48,4.91,1.84,0.61
44,10855.48,4.91,1.84,0.61
44,10855.48,4.91,1.84,0.61
45,10855.48,4.91,1.84,0.61
45,10855.48,4.91,1.84,0.61
45,10855.48,4.91,1.84,0.61
45,10855.48,4.91,1.84,0.61
46,10855.48,4.91,1.84,0.61
46,10855.48,4.91,1.84,0.61
46,10855.48,4.91,1.84,0.61
46,10855.48,4.91,1.84,0.61
47,10855.48,4.91,1.84,0.61
47,10855.48,4.91,1.84,0.61
47,10855.48,4.91,1.84,0.61
47,10855.48,4.91,1.84,0.61
48,10855.48,4.91,1.84,0.61
48,10855.48,4.91,1.84,0.61
48,10855.48,4.91,1.84,0.61
48,10855.48,4.91,1.84,0.61
49,10855.48,4.91,1.84,0.61
49,10855.48,4.91,1.84,0.61
49,10855.48,4.91,1.84,0.61
49,10855.48,4.91,1.84,0.61
