Iteracao,Gbest_Erro,Kp,Ki,Kd
0.0,23826.29,3.72,1.14,0.01
0.0,23826.29,3.72,1.14,0.01
0.0,15930.69,4.02,0.36,0.79
0.0,15930.69,4.02,0.36,0.79
0.0,15930.69,4.02,0.36,0.79
0.0,15930.69,4.02,0.36,0.79
0.0,15406.2,4.54,0.67,0.43
0.0,15406.2,4.54,0.67,0.43
0.0,15406.2,4.54,0.67,0.43
1.0,15406.2,4.54,0.67,0.43
1.0,15406.2,4.54,0.67,0.43
1.0,15406.2,4.54,0.67,0.43
1.0,12945.94,4.02,0.36,0.79
1.0,12945.94,4.02,0.36,0.79
1.0,12945.94,4.02,0.36,0.79
1.0,12945.94,4.02,0.36,0.79
1.0,12945.94,4.02,0.36,0.79
1.0,12945.94,4.02,0.36,0.79
1.0,12945.94,4.02,0.36,0.79
2.0,12945.94,4.02,0.36,0.79
2.0,12945.94,4.02,0.36,0.79
2.0,12771.29,4.9,0.2,0.45
2.0,12771.29,4.9,0.2,0.45
2.0,12771.29,4.9,0.2,0.45
2.0,12771.29,4.9,0.2,0.45
2.0,12771.29,4.9,0.2,0.45
2.0,12771.29,4.9,0.2,0.45
2.0,12771.29,4.9,0.2,0.45
