Iteração,Gbest_Erro, Kp_best, Ki_best, Kd_best
0,23826.29,3.72,1.14,0.01
0,23826.29,3.72,1.14,0.01
0,15930.69,4.02,0.36,0.79
0,15930.69,4.02,0.36,0.79
0,15930.69,4.02,0.36,0.79
0,15930.69,4.02,0.36,0.79
0,15406.20,4.54,0.67,0.43
0,15406.20,4.54,0.67,0.43
0,15406.20,4.54,0.67,0.43
1,15406.20,4.54,0.67,0.43
1,15406.20,4.54,0.67,0.43
1,15406.20,4.54,0.67,0.43
1,12945.94,4.02,0.36,0.79
1,12945.94,4.02,0.36,0.79
1,12945.94,4.02,0.36,0.79
1,12945.94,4.02,0.36,0.79
1,12945.94,4.02,0.36,0.79
1,12945.94,4.02,0.36,0.79
1,12945.94,4.02,0.36,0.79
2,12945.94,4.02,0.36,0.79
2,12945.94,4.02,0.36,0.79
2,12771.29,4.90,0.20,0.45
2,12771.29,4.90,0.20,0.45
2,12771.29,4.90,0.20,0.45
2,12771.29,4.90,0.20,0.45
2,12771.29,4.90,0.20,0.45
2,12771.29,4.90,0.20,0.45
2,12771.29,4.90,0.20,0.45
