Iteracao,Particula,Distancia,PWM,Erro_Atual,Gbest_Erro, Passo
0,0,26.18,189.23,38.82,10000000.00,0.90
0,0,26.18,201.75,38.82,10000000.00,0.90
0,0,27.14,198.20,37.86,10000000.00,0.90
0,0,30.24,186.63,34.76,10000000.00,0.90
0,0,45.04,131.48,19.96,10000000.00,0.90
0,0,63.43,63.01,1.57,10000000.00,0.90
0,0,83.12,-94.37,-18.12,10000000.00,0.90
0,0,56.48,-15.58,8.52,10000000.00,0.90
0,0,81.51,-118.70,-16.51,10000000.00,0.90
0,0,59.03,-14.18,5.97,10000000.00,0.90
0,0,39.58,151.87,25.42,10000000.00,0.90
0,0,41.43,145.07,23.57,10000000.00,0.90
0,0,69.62,23.99,-4.62,10000000.00,0.90
0,0,90.85,-153.53,-25.85,10000000.00,0.90
0,0,73.36,-88.22,-8.36,10000000.00,0.90
0,0,56.48,-1.29,8.52,10000000.00,0.90
0,0,49.66,101.22,15.34,10000000.00,0.90
0,0,51.45,107.66,13.55,10000000.00,0.90
0,0,60.23,75.00,4.77,10000000.00,0.90
0,0,73.79,-16.68,-8.79,10000000.00,0.90
0,0,100.00,-187.54,-35.00,10000000.00,0.90
0,0,75.59,-96.68,-10.59,10000000.00,0.90
0,0,56.48,0.65,8.52,10000000.00,0.90
0,0,52.39,83.48,12.61,10000000.00,0.90
0,0,38.42,156.19,26.58,10000000.00,0.90
0,0,59.93,76.10,5.07,10000000.00,0.90
0,0,75.59,-27.35,-10.59,10000000.00,0.90
0,0,85.94,-135.22,-20.94,10000000.00,0.90
0,0,77.47,-103.69,-12.47,10000000.00,0.90
0,0,62.44,-38.90,2.56,10000000.00,0.90
0,0,53.61,54.45,11.39,10000000.00,0.90
0,0,50.77,110.23,14.23,10000000.00,0.90
0,0,52.63,103.29,12.37,10000000.00,0.90
0,0,62.76,65.56,2.24,10000000.00,0.90
0,0,76.06,3.25,-11.06,10000000.00,0.90
0,0,92.83,-160.82,-27.83,10000000.00,0.90
0,0,80.98,-116.87,-15.98,10000000.00,0.90
0,0,70.02,-75.85,-5.02,10000000.00,0.90
0,0,57.59,-3.88,7.41,10000000.00,0.90
0,0,54.12,69.26,10.88,10000000.00,0.90
0,0,54.63,95.86,10.37,10000000.00,0.90
0,0,55.94,91.00,9.06,10000000.00,0.90
0,0,48.17,119.90,16.83,10000000.00,0.90
0,0,58.16,72.69,6.84,10000000.00,0.90
0,0,90.85,-153.48,-25.85,10000000.00,0.90
0,0,91.50,-155.91,-26.50,10000000.00,0.90
0,0,75.59,-96.68,-10.59,10000000.00,0.90
0,0,63.76,-46.99,1.24,10000000.00,0.90
0,0,52.88,48.85,12.12,10000000.00,0.90
0,0,40.64,148.01,24.36,10000000.00,0.90
0,0,57.87,83.78,7.13,10000000.00,0.90
0,0,63.76,61.84,1.24,10000000.00,0.90
0,0,71.24,12.29,-6.24,10000000.00,0.90
0,0,77.47,-83.48,-12.47,10000000.00,0.90
0,0,74.24,-91.62,-9.24,10000000.00,0.90
0,0,68.45,-36.05,-3.45,10000000.00,0.90
0,0,62.44,-1.59,2.56,10000000.00,0.90
