Iteracao,Particula,Distancia,PWM,Erro_Atual,Gbest_Erro, Passo
0,0,25.06,266.83,39.94,10000000.00
0,0,39.02,210.81,25.98,10000000.00
0,0,39.66,207.59,25.34,10000000.00
0,0,39.81,206.83,25.19,10000000.00
0,0,39.87,206.51,25.13,10000000.00
0,0,39.90,206.34,25.10,10000000.00
0,0,39.92,206.24,25.08,10000000.00
0,0,49.37,158.09,15.63,10000000.00
0,0,88.37,-151.61,-23.37,10000000.00
0,0,89.63,-203.97,-24.63,10000000.00
0,0,87.20,-191.54,-22.20,10000000.00
0,0,75.60,-132.60,-10.60,10000000.00
0,0,56.14,7.57,8.86,10000000.00
0,0,47.62,167.10,17.38,10000000.00
0,0,47.92,165.56,17.08,10000000.00
0,0,57.64,116.06,7.36,10000000.00
0,0,87.71,-140.99,-22.71,10000000.00
0,0,89.12,-201.37,-24.12,10000000.00
0,0,88.44,-197.92,-23.44,10000000.00
0,0,74.47,-126.93,-9.47,10000000.00
0,0,59.03,-19.31,5.97,10000000.00
0,0,51.54,103.15,13.46,10000000.00
0,0,50.18,154.06,14.82,10000000.00
0,0,55.46,127.23,9.54,10000000.00
0,0,64.91,56.85,0.09,10000000.00
0,0,78.28,-146.04,-13.28,10000000.00
0,0,89.18,-201.65,-24.18,10000000.00
0,0,81.57,-162.95,-16.57,10000000.00
0,0,65.88,-83.24,-0.88,10000000.00
0,0,54.44,34.12,10.56,10000000.00
0,0,51.29,148.45,13.71,10000000.00
0,0,49.71,156.46,15.29,10000000.00
0,0,57.36,117.51,7.64,10000000.00
0,0,69.99,42.10,-4.99,10000000.00
0,0,85.74,-138.23,-20.74,10000000.00
0,0,85.72,-184.10,-20.72,10000000.00
0,0,75.04,-129.76,-10.04,10000000.00
0,0,66.14,-84.48,-1.14,10000000.00
0,0,53.89,18.43,11.11,10000000.00
0,0,51.05,145.49,13.95,10000000.00
0,0,50.22,153.87,14.78,10000000.00
0,0,53.75,135.91,11.25,10000000.00
0,0,60.96,99.20,4.04,10000000.00
0,0,73.60,-0.04,-8.60,10000000.00
0,0,85.59,-170.42,-20.59,10000000.00
0,0,79.34,-151.63,-14.34,10000000.00
0,0,72.27,-115.66,-7.27,10000000.00
0,0,61.72,-56.76,3.28,10000000.00
0,0,57.66,20.87,7.34,10000000.00
0,0,55.80,104.97,9.20,10000000.00
0,0,56.48,122.04,8.52,10000000.00
0,0,59.30,107.69,5.70,10000000.00
0,0,66.43,69.18,-1.43,10000000.00
0,0,81.98,-103.24,-16.98,10000000.00
0,0,83.08,-170.73,-18.08,10000000.00
0,0,67.58,-91.63,-2.58,10000000.00
0,0,69.72,-102.75,-4.72,10000000.00
0,0,65.81,-82.81,-0.81,10000000.00
0,0,58.13,-11.56,6.87,10000000.00
0,0,57.92,44.99,7.08,10000000.00
0,0,57.88,101.24,7.12,10000000.00
0,0,57.27,118.04,7.73,10000000.00
0,0,59.84,104.92,5.16,10000000.00
0,0,67.99,57.18,-2.99,10000000.00
0,0,74.67,-23.32,-9.67,10000000.00
0,0,78.88,-132.95,-13.88,10000000.00
0,0,75.17,-130.35,-10.17,10000000.00
0,0,73.88,-123.86,-8.88,10000000.00
0,0,69.54,-101.78,-4.54,10000000.00
0,0,62.38,-52.56,2.62,10000000.00
0,0,61.44,-23.78,3.56,10000000.00
0,0,59.39,26.20,5.61,10000000.00
0,0,57.85,87.43,7.15,10000000.00
0,0,59.17,108.39,5.83,10000000.00
0,0,61.01,99.01,3.99,10000000.00
0,0,63.09,88.41,1.91,10000000.00
0,0,71.72,12.06,-6.72,10000000.00
0,0,75.89,-84.00,-10.89,10000000.00
0,0,72.88,-118.74,-7.88,10000000.00
0,0,72.41,-116.42,-7.41,10000000.00
0,0,65.32,-80.37,-0.32,10000000.00
0,0,62.28,-38.09,2.72,10000000.00
0,0,57.91,35.08,7.09,10000000.00
0,0,55.97,107.49,9.03,10000000.00
0,0,54.70,131.14,10.30,10000000.00
0,0,54.79,130.74,10.21,10000000.00
0,0,57.31,117.94,7.69,10000000.00
0,0,60.62,101.09,4.38,10000000.00
0,0,70.92,32.49,-5.92,10000000.00
0,0,70.25,-31.67,-5.25,10000000.00
0,0,72.12,-114.77,-7.12,10000000.00
0,0,76.37,-136.56,-11.37,10000000.00
0,0,71.05,-109.49,-6.05,10000000.00
0,0,67.03,-89.06,-2.03,10000000.00
0,0,62.91,-61.61,2.09,10000000.00
0,0,59.24,-5.65,5.76,10000000.00
0,0,59.90,32.08,5.10,10000000.00
0,0,60.48,68.87,4.52,10000000.00
0,0,60.97,95.99,4.03,10000000.00
0,0,61.19,98.11,3.81,10000000.00
0,0,59.39,107.26,5.61,10000000.00
0,0,55.92,124.92,9.08,10000000.00
0,0,57.62,116.23,7.38,10000000.00
0,0,61.14,98.32,3.86,10000000.00
0,0,66.51,68.61,-1.51,10000000.00
0,0,76.87,-48.79,-11.87,10000000.00
0,0,72.29,-115.52,-7.29,10000000.00
0,0,81.95,-164.91,-16.95,10000000.00
0,0,73.37,-121.28,-8.37,10000000.00
0,0,69.29,-100.54,-4.29,10000000.00
0,0,63.08,-62.68,1.92,10000000.00
0,0,62.42,-42.11,2.58,10000000.00
0,0,61.51,-13.35,3.49,10000000.00
0,0,59.72,36.27,5.28,10000000.00
0,0,58.13,95.84,6.87,10000000.00
0,0,59.94,104.47,5.06,10000000.00
0,0,61.59,96.06,3.41,10000000.00
0,0,65.93,72.25,-0.93,10000000.00
0,0,70.84,18.29,-5.84,10000000.00
0,0,74.00,-60.77,-9.00,10000000.00
0,0,74.51,-127.06,-9.51,10000000.00
0,0,71.32,-110.86,-6.32,10000000.00
0,1,22.05,268.66,42.95,22435.39
0,1,38.64,217.91,26.36,22435.39
0,1,39.58,215.12,25.42,22435.39
0,1,39.77,214.53,25.23,22435.39
0,1,39.85,214.29,25.15,22435.39
0,1,39.89,214.17,25.11,22435.39
0,1,39.91,214.09,25.09,22435.39
0,1,39.93,214.04,25.07,22435.39
0,1,40.07,213.59,24.93,22435.39
0,1,55.97,160.14,9.03,22435.39
0,1,88.12,-114.15,-23.12,22435.39
0,1,89.61,-212.61,-24.61,22435.39
0,1,89.80,-213.20,-24.80,22435.39
0,1,89.87,-213.42,-24.87,22435.39
0,1,73.45,-159.43,-8.45,22435.39
0,1,53.70,8.72,11.30,22435.39
0,1,44.29,200.40,20.71,22435.39
0,1,43.72,201.87,21.28,22435.39
0,1,54.07,167.88,10.93,22435.39
0,1,77.40,12.85,-12.40,22435.39
0,1,82.86,-188.98,-17.86,22435.39
0,1,85.11,-199.75,-20.11,22435.39
0,1,78.87,-177.48,-13.87,22435.39
0,1,64.09,-127.61,0.91,22435.39
0,1,49.22,48.30,15.78,22435.39
0,1,45.19,197.79,19.81,22435.39
0,1,45.81,195.08,19.19,22435.39
0,1,51.64,175.37,13.36,22435.39
0,1,68.26,112.01,-3.26,22435.39
0,1,88.40,-144.67,-23.40,22435.39
0,1,89.62,-212.64,-24.62,22435.39
0,1,87.34,-205.03,-22.34,22435.39
0,1,68.82,-142.18,-3.82,22435.39
0,1,57.82,-37.33,7.18,22435.39
0,1,54.56,95.38,10.44,22435.39
0,1,50.85,179.15,14.15,22435.39
0,1,55.80,162.95,9.20,22435.39
0,1,68.16,110.95,-3.16,22435.39
0,1,79.66,-64.72,-14.66,22435.39
0,1,80.24,-179.85,-15.24,22435.39
0,1,76.53,-170.67,-11.53,22435.39
0,1,68.37,-144.06,-3.37,22435.39
0,1,59.20,-80.67,5.80,22435.39
0,1,53.73,59.95,11.27,22435.39
0,1,50.66,179.91,14.34,22435.39
0,1,49.69,182.79,15.31,22435.39
0,1,52.45,173.44,12.55,22435.39
0,1,59.58,150.17,5.42,22435.39
0,1,69.39,95.25,-4.39,22435.39
0,1,80.59,-67.19,-15.59,22435.39
0,1,87.08,-205.62,-22.08,22435.39
0,1,82.86,-188.54,-17.86,22435.39
0,1,77.43,-173.17,-12.43,22435.39
0,1,70.43,-150.79,-5.43,22435.39
0,1,64.72,-131.93,0.28,22435.39
0,1,58.84,-37.08,6.16,22435.39
0,1,56.93,69.46,8.07,22435.39
0,1,55.25,165.15,9.75,22435.39
0,1,55.44,164.45,9.56,22435.39
0,1,57.64,157.23,7.36,22435.39
0,1,64.12,136.11,0.88,22435.39
0,1,74.54,25.47,-9.54,22435.39
0,1,86.57,-204.26,-21.57,22435.39
0,1,89.47,-212.18,-24.47,22435.39
0,1,87.06,-204.19,-22.06,22435.39
0,1,79.67,-181.33,-14.67,22435.39
0,1,73.39,-160.80,-8.39,22435.39
0,1,69.09,-146.64,-4.09,22435.39
0,1,63.24,-108.64,1.76,22435.39
0,1,62.00,-71.63,3.00,22435.39
0,1,59.84,-7.55,5.16,22435.39
0,1,57.80,85.81,7.20,22435.39
0,1,54.51,168.26,10.49,22435.39
0,1,54.33,169.24,10.67,22435.39
0,1,56.47,163.02,8.53,22435.39
0,1,61.89,140.71,3.11,22435.39
0,1,78.64,-54.26,-13.64,22435.39
