Iteracao,Particula,Distancia,PWM,Erro_Atual,Gbest_Erro, Passo
0,0,25.00,119.50,25.00,10000000.00,0.90
0,0,32.05,119.31,17.95,10000000.00,0.90
0,0,33.44,114.12,16.56,10000000.00,0.90
0,0,33.98,112.12,16.02,10000000.00,0.90
0,0,34.26,111.10,15.74,10000000.00,0.90
0,0,34.54,110.04,15.46,10000000.00,0.90
0,0,39.50,91.55,10.50,10000000.00,0.90
0,0,50.83,48.50,-0.83,10000000.00,0.90
0,0,58.22,-9.13,-8.22,10000000.00,0.90
0,0,61.31,-74.64,-11.31,10000000.00,0.90
0,0,62.68,-99.69,-12.68,10000000.00,0.90
0,0,63.38,-102.31,-13.38,10000000.00,0.90
0,0,63.79,-103.83,-13.79,10000000.00,0.90
0,0,64.05,-104.79,-14.05,10000000.00,0.90
0,0,62.18,-97.82,-12.18,10000000.00,0.90
0,0,56.06,-75.02,-6.06,10000000.00,0.90
0,0,46.82,-35.79,3.18,10000000.00,0.90
0,0,41.04,22.51,8.96,10000000.00,0.90
0,0,38.46,88.11,11.54,10000000.00,0.90
0,0,37.25,99.97,12.75,10000000.00,0.90
0,0,36.81,101.59,13.19,10000000.00,0.90
0,0,38.45,95.49,11.55,10000000.00,0.90
0,0,44.39,73.36,5.61,10000000.00,0.90
0,0,53.93,30.85,-3.93,10000000.00,0.90
0,0,59.34,-28.77,-9.34,10000000.00,0.90
0,0,61.72,-94.93,-11.72,10000000.00,0.90
0,0,62.85,-100.33,-12.85,10000000.00,0.90
0,0,63.46,-102.61,-13.46,10000000.00,0.90
0,0,63.83,-103.98,-13.83,10000000.00,0.90
0,0,62.86,-100.37,-12.86,10000000.00,0.90
0,0,58.83,-85.36,-8.83,10000000.00,0.90
0,0,52.01,-59.98,-2.01,10000000.00,0.90
0,0,45.06,-21.42,4.94,10000000.00,0.90
0,0,40.48,37.35,9.52,10000000.00,0.90
0,0,38.30,96.07,11.70,10000000.00,0.90
0,0,37.20,100.15,12.80,10000000.00,0.90
0,0,36.84,101.48,13.16,10000000.00,0.90
0,0,37.41,99.34,12.59,10000000.00,0.90
0,0,39.51,91.55,10.49,10000000.00,0.90
0,0,44.66,72.38,5.34,10000000.00,0.90
0,0,53.58,33.08,-3.58,10000000.00,0.90
0,0,59.05,-24.98,-9.05,10000000.00,0.90
0,0,61.54,-90.43,-11.54,10000000.00,0.90
0,0,62.74,-99.93,-12.74,10000000.00,0.90
0,0,63.39,-102.35,-13.39,10000000.00,0.90
0,0,63.22,-101.70,-13.22,10000000.00,0.90
0,0,61.19,-94.13,-11.19,10000000.00,0.90
0,0,56.88,-78.09,-6.88,10000000.00,0.90
0,0,50.53,-54.44,-0.53,10000000.00,0.90
0,0,44.69,-15.74,5.31,10000000.00,0.90
0,0,41.34,36.03,8.66,10000000.00,0.90
0,0,39.31,92.31,10.69,10000000.00,0.90
0,0,38.36,95.81,11.64,10000000.00,0.90
0,0,38.27,96.15,11.73,10000000.00,0.90
0,0,38.84,94.04,11.16,10000000.00,0.90
0,0,40.04,89.55,9.96,10000000.00,0.90
0,0,43.03,78.45,6.97,10000000.00,0.90
0,0,49.68,53.67,0.32,10000000.00,0.90
0,0,56.47,7.54,-6.47,10000000.00,0.90
0,0,60.24,-53.48,-10.24,10000000.00,0.90
0,0,62.05,-97.34,-12.05,10000000.00,0.90
0,0,62.98,-100.83,-12.98,10000000.00,0.90
0,0,63.21,-101.68,-13.21,10000000.00,0.90
0,0,61.80,-96.43,-11.80,10000000.00,0.90
