Iteração,Gbest_Erro, Kp_best, Ki_best, Kd_best
0,26638.04,3.72,1.05,0.01
0,26638.04,3.72,1.05,0.01
0,5793.20,4.02,0.18,0.79
0,5793.20,4.02,0.18,0.79
0,5793.20,4.02,0.18,0.79
0,5793.20,4.02,0.18,0.79
1,5793.20,4.02,0.18,0.79
1,5793.20,4.02,0.18,0.79
1,5793.20,4.02,0.18,0.79
1,5793.20,4.02,0.18,0.79
1,5793.20,4.02,0.18,0.79
1,5793.20,4.02,0.18,0.79
1,5793.20,4.02,0.18,0.79
2,5793.20,4.02,0.18,0.79
2,5793.20,4.02,0.18,0.79
2,5793.20,4.02,0.18,0.79
2,5793.20,4.02,0.18,0.79
2,5793.20,4.02,0.18,0.79
2,5793.20,4.02,0.18,0.79
2,5793.20,4.02,0.18,0.79
3,5793.20,4.02,0.18,0.79
3,5793.20,4.02,0.18,0.79
3,5793.20,4.02,0.18,0.79
3,5793.20,4.02,0.18,0.79
3,5793.20,4.02,0.18,0.79
3,5793.20,4.02,0.18,0.79
3,5793.20,4.02,0.18,0.79
4,5793.20,4.02,0.18,0.79
4,5793.20,4.02,0.18,0.79
4,5793.20,4.02,0.18,0.79
4,5793.20,4.02,0.18,0.79
4,5793.20,4.02,0.18,0.79
4,5793.20,4.02,0.18,0.79
4,5793.20,4.02,0.18,0.79
5,5793.20,4.02,0.18,0.79
5,5793.20,4.02,0.18,0.79
5,5793.20,4.02,0.18,0.79
5,5793.20,4.02,0.18,0.79
5,5793.20,4.02,0.18,0.79
5,5793.20,4.02,0.18,0.79
5,5793.20,4.02,0.18,0.79
6,5793.20,4.02,0.18,0.79
6,5793.20,4.02,0.18,0.79
6,5793.20,4.02,0.18,0.79
6,5793.20,4.02,0.18,0.79
6,5793.20,4.02,0.18,0.79
6,5793.20,4.02,0.18,0.79
6,5793.20,4.02,0.18,0.79
7,5793.20,4.02,0.18,0.79
7,5793.20,4.02,0.18,0.79
7,5793.20,4.02,0.18,0.79
7,5793.20,4.02,0.18,0.79
7,5562.82,4.01,0.00,0.79
7,5231.24,5.00,0.17,0.79
7,5231.24,5.00,0.17,0.79
8,5231.24,5.00,0.17,0.79
8,5231.24,5.00,0.17,0.79
8,5231.24,5.00,0.17,0.79
8,3888.68,4.02,0.18,0.79
8,3888.68,4.02,0.18,0.79
8,3888.68,4.02,0.18,0.79
8,3888.68,4.02,0.18,0.79
9,3888.68,4.02,0.18,0.79
9,3888.68,4.02,0.18,0.79
9,3888.68,4.02,0.18,0.79
9,3888.68,4.02,0.18,0.79
9,3888.68,4.02,0.18,0.79
9,3888.68,4.02,0.18,0.79
9,3888.68,4.02,0.18,0.79
10,3888.68,4.02,0.18,0.79
10,3888.68,4.02,0.18,0.79
10,3888.68,4.02,0.18,0.79
10,3888.68,4.02,0.18,0.79
10,3888.68,4.02,0.18,0.79
10,3888.68,4.02,0.18,0.79
10,3888.68,4.02,0.18,0.79
11,3888.68,4.02,0.18,0.79
11,3888.68,4.02,0.18,0.79
11,3888.68,4.02,0.18,0.79
11,3888.68,4.02,0.18,0.79
11,3888.68,4.02,0.18,0.79
11,3888.68,4.02,0.18,0.79
11,3888.68,4.02,0.18,0.79
12,3888.68,4.02,0.18,0.79
12,3888.68,4.02,0.18,0.79
12,3888.68,4.02,0.18,0.79
12,3888.68,4.02,0.18,0.79
