Iteracao,Gbest_Erro,Kp,Ki,Kd
0.0,17361.75,3.72,1.05,0.01
0.0,17361.75,3.72,1.05,0.01
0.0,5783.07,4.02,0.18,0.79
0.0,5783.07,4.02,0.18,0.79
0.0,5783.07,4.02,0.18,0.79
0.0,5783.07,4.02,0.18,0.79
1.0,5783.07,4.02,0.18,0.79
1.0,5783.07,4.02,0.18,0.79
1.0,5783.07,4.02,0.18,0.79
1.0,5783.07,4.02,0.18,0.79
1.0,5783.07,4.02,0.18,0.79
1.0,5783.07,4.02,0.18,0.79
1.0,5783.07,4.02,0.18,0.79
2.0,5783.07,4.02,0.18,0.79
2.0,5783.07,4.02,0.18,0.79
2.0,5783.07,4.02,0.18,0.79
2.0,5783.07,4.02,0.18,0.79
2.0,5783.07,4.02,0.18,0.79
2.0,5783.07,4.02,0.18,0.79
2.0,5783.07,4.02,0.18,0.79
3.0,5783.07,4.02,0.18,0.79
3.0,5783.07,4.02,0.18,0.79
3.0,5783.07,4.02,0.18,0.79
3.0,5783.07,4.02,0.18,0.79
3.0,5783.07,4.02,0.18,0.79
3.0,5783.07,4.02,0.18,0.79
3.0,5783.07,4.02,0.18,0.79
4.0,5783.07,4.02,0.18,0.79
4.0,5783.07,4.02,0.18,0.79
4.0,5783.07,4.02,0.18,0.79
4.0,5783.07,4.02,0.18,0.79
4.0,5783.07,4.02,0.18,0.79
4.0,5783.07,4.02,0.18,0.79
4.0,5783.07,4.02,0.18,0.79
5.0,5783.07,4.02,0.18,0.79
5.0,5783.07,4.02,0.18,0.79
5.0,5783.07,4.02,0.18,0.79
5.0,5783.07,4.02,0.18,0.79
5.0,5783.07,4.02,0.18,0.79
5.0,5783.07,4.02,0.18,0.79
5.0,5783.07,4.02,0.18,0.79
6.0,5783.07,4.02,0.18,0.79
6.0,5783.07,4.02,0.18,0.79
6.0,5783.07,4.02,0.18,0.79
6.0,5783.07,4.02,0.18,0.79
6.0,5783.07,4.02,0.18,0.79
6.0,5783.07,4.02,0.18,0.79
6.0,5783.07,4.02,0.18,0.79
7.0,5783.07,4.02,0.18,0.79
7.0,5783.07,4.02,0.18,0.79
7.0,5783.07,4.02,0.18,0.79
7.0,5783.07,4.02,0.18,0.79
7.0,5783.07,4.02,0.18,0.79
7.0,5783.07,4.02,0.18,0.79
7.0,5783.07,4.02,0.18,0.79
8.0,5783.07,4.02,0.18,0.79
8.0,5783.07,4.02,0.18,0.79
8.0,5783.07,4.02,0.18,0.79
8.0,5783.07,4.02,0.18,0.79
8.0,5783.07,4.02,0.18,0.79
8.0,5783.07,4.02,0.18,0.79
8.0,5783.07,4.02,0.18,0.79
9.0,5783.07,4.02,0.18,0.79
9.0,5783.07,4.02,0.18,0.79
9.0,5783.07,4.02,0.18,0.79
9.0,5783.07,4.02,0.18,0.79
